City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,la gi,10.6667,107.7833,28.75,73,100,1.13,VN,1728354843
316,angaur state,6.906,134.13,29.14,71,93,2.69,PW,1728354844
317,borogontsy,62.6683,131.1683,0.07,50,17,1.95,RU,1728354846
318,puerto quijarro,-17.7833,-57.7667,29.58,34,19,0.9,BO,1728354847
319,guerrero negro,27.9769,-114.0611,20.55,87,7,3.64,MX,1728354848
320,horta,38.5333,-28.6333,23.9,91,40,10.28,PT,1728354849
321,al ghayzah,16.2079,52.176,25.42,79,97,1.59,YE,1728354850
322,kerikeri,-35.2268,173.9474,21.76,42,23,3.41,NZ,1728354851
323,nelson bay,-32.7167,152.15,16.32,95,100,4.92,AU,1728354854
324,torghay,49.6339,63.4981,13.4,39,7,2.64,KZ,1728354856
325,wangjing,24.6,94.0333,22.99,73,20,1.24,IN,1728354857
326,yarega,63.4354,53.5765,1.48,83,100,5.46,RU,1728354793
327,altai,46.3722,96.2583,6.92,36,98,4.91,MN,1728354859
328,xinyu,27.8043,114.9334,18.55,79,100,2.58,CN,1728354861
329,alice springs,-23.7,133.8833,34.75,12,5,4.63,AU,1728354862
330,turkmenbasy,40.0222,52.9552,16.43,39,0,3.09,TM,1728354863
331,new norfolk,-42.7826,147.0587,13.73,46,81,3.66,AU,1728354864
332,puerto baquerizo moreno,-0.9,-89.6,20.85,86,100,5.71,EC,1728354732
333,verneuil-sur-avre,48.7395,0.9273,12.85,88,100,7.32,FR,1728354866
334,al burayqah,30.4062,19.5739,22.8,67,0,4.64,LY,1728354867
335,grafton,42.207,-71.6856,12.26,94,8,3.57,US,1728354869
336,saint-pierre,-21.3393,55.4781,19.82,64,0,2.06,RE,1728354870
337,taguatinga,-12.3857,-46.5711,28.4,39,25,0.31,BR,1728354871
338,staraya mayna,54.6,48.95,11.06,53,100,5.59,RU,1728354872
339,mazagao,-0.115,-51.2894,26.14,80,38,3.26,BR,1728354874
340,harpswell center,43.8018,-69.9842,13.03,89,100,0.45,US,1728354876
341,melekeok village,7.4957,134.6367,32.31,66,75,3.09,PW,1728354877
342,mount gambier,-37.8333,140.7667,14.54,41,0,3.65,AU,1728354879
343,alta sierra,35.7291,-118.5495,16.81,31,70,0.86,US,1728354880
344,kuanda,56.3161,116.0806,6.6,43,41,1.07,RU,1728354881
345,naze,28.3667,129.4833,25.51,79,77,7.47,JP,1728354882
346,vernon,50.2581,-119.2691,13.45,62,5,2.06,CA,1728354884
347,castillos,-34.1667,-53.8333,12.93,97,100,0.53,UY,1728354885
348,sisimiut,66.9395,-53.6735,2.23,70,82,2.29,GL,1728354672
349,pariaman,-0.619,100.12,29.03,74,80,2.61,ID,1728354887
350,mukalla,14.5425,49.1242,25.37,88,86,2.86,YE,1728354888
351,bosaso,11.2842,49.1816,27.85,73,97,1.88,SO,1728354889
352,darnah,32.767,22.6367,21.93,72,0,4.26,LY,1728354891
353,geraldton,-28.7667,114.6,21.23,73,100,4.63,AU,1728354892
354,midvagur,62.0511,-7.1939,6.46,70,75,3.09,FO,1728354893
355,veraval,20.9,70.3667,28.6,66,39,3.04,IN,1728354894
356,senanga,-16.1167,23.2667,14.96,25,0,2.22,ZM,1728354895
357,maintirano,-18.0667,44.0167,22.41,79,3,3.98,MG,1728354896
358,peterhead,57.5058,-1.7981,11.22,91,100,5.82,GB,1728354897
359,sandnessjoen,66.0217,12.6316,3.53,83,100,7.13,NO,1728354761
360,callao,-12.0667,-77.15,17.16,82,0,5.66,PE,1728354900
361,papao,-17.75,-149.55,27.82,75,100,9.28,PF,1728354901
362,oban,56.4127,-5.4706,10.83,89,96,2.65,GB,1728354902
363,san luis de la loma,17.2706,-100.8939,25.35,88,43,1.44,MX,1728354903
364,callaway,30.153,-85.5699,22.18,80,0,0.45,US,1728354904
365,morehead city,34.7229,-76.726,21.75,77,0,2.06,US,1728354905
366,khanty-mansiysk,61.0042,69.0019,0.06,86,0,4.0,RU,1728354771
367,trinidad,-14.8333,-64.9,31.96,41,84,4.83,BO,1728354910
368,walvis bay,-22.9575,14.5053,13.07,88,0,3.34,NA,1728354911
369,alaghsas,17.0187,8.0168,31.21,21,63,2.79,NE,1728354912
370,villa ojo de agua,-29.5,-63.6938,14.92,95,100,10.73,AR,1728354914
371,presidente epitacio,-21.7633,-52.1156,26.5,19,8,2.77,BR,1728354915
372,wenling,28.3669,121.36,18.35,86,100,3.54,CN,1728354916
373,itaituba,-4.2761,-55.9836,25.03,85,6,0.95,BR,1728354676
374,pabna,24.0,89.25,28.96,74,19,1.31,BD,1728354918
375,zouerate,22.7187,-12.4521,25.56,40,43,4.5,MR,1728354919
376,kuta,-8.7233,115.1723,29.97,79,40,6.69,ID,1728354921
377,salinas,36.6777,-121.6555,18.63,77,0,4.63,US,1728354644
378,ariquemes,-9.9133,-63.0408,27.06,62,42,0.71,BR,1728354923
